RHP Site Code,Latitude,Longitude,,
A1NGOT-DINOK,-25.45528,25.85377,,
A1NGOT-PUANE,-25.4292,25.86717,,
A2APIE-BOSCH,-25.34586,28.26992,,
A2APIE-BRIDG,-25.66556,28.18861,,
A2APIE-DEON2,-25.65894,28.18756,,
A2APIE-DEON3,-25.6835,28.18719,,
A2APIE-DEON4,-25.69358,28.18694,,
A2APIE-DEOND,-25.61681,28.19158,,
A2APIE-PRETO,-25.72692,28.17192,,
A2APIE-VASTF,-25.5507,28.24371,,
A2BLOU-KROMD,-25.98139,27.78806,,
A2BLOU-RIETF,-25.96778,27.80111,,
A2BLOU-ZWART,-25.97722,27.83389,,
A2BRAA-PARKH,-26.13833,28.01072,,
A2CROC-BENAL,-24.64148,27.36812,,
A2CROC-ELAND,-25.94694,27.88139,,
A2CROC-HARTB,-25.8004,27.896,,
A2CROC-KOEDO,-24.88975,27.51833,,
A2CROC-MAKOP,-24.40645,27.11553,,
A2CROC-MORGE,-24.29253,27.028,,
A2CROC-MOUNT,-25.7168,27.8431,,
A2CROC-ROODE,-26.0635,27.8416,,
A2CROC-SWEET,-24.58768,27.24967,,
A2CROC-VAALK,-25.20597,27.55786,,
A2CROC-ZOUTP,-25.54833,27.70939,,
A2DWAR-BULHO,-25.55475,26.90861,,
A2DWAR-WATER,-25.51614,26.93219,,
A2EDEN-FRANS,-25.67828,28.40167,,
A2ELAN-BESTE,-25.46392,26.78925,,
A2ELAN-DOORK,-25.71619,26.71786,,
A2ELAN-DOORN,-25.83569,26.75539,,
A2ELAN-FRISC,-25.3929,27.071,,
A2ELAN-HOOGE,-25.44686,26.89442,,
A2ELAN-KLIPB,-25.72656,26.72044,,
A2ELAN-LINDL,-25.48108,26.69039,,
A2ELAN-NOOIT,-25.58181,26.67822,,
A2ELAN-RIETS,-25.33489,27.29089,,
A2ELAN-SWART,-25.6504,26.691,,
A2ELAN-VLAKF,-25.86272,26.77842,,
A2HART-KAMEE,-25.65286,28.31172,,
A2HENN-HENNO,-25.82556,27.98944,,
A2HENN-MOOIP,-25.83472,28.12417,,
