Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Former scientific name,Common name,Habitat,Origin,Endemism,Conservation status
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bengalensis labiata,Anguilla bengalensis labiata,"Anguilla bengalensis labiata (Peters, 1852)",,African mottled eel,Euryhaline,Native,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bicolor,Anguilla bicolor,"Anguilla bicolor bicolor McClelland, 1844",,Shortfin eel,Euryhaline,Native,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,marmorata,Anguilla marmorata,Anguilla marmorata Quoy & Gaimard 1824,,Giant mottled eel,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,mossambica,Anguilla mossambica,"Anguilla mossambica (Peters, 1852)",,African longfin eel,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla ,bengalensis,Anguilla  bengalensis,"Anguilla bengalensis (Gray, 1831)",,Indian mottled eel,Euryhaline,Native,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,breviceps,Atherina breviceps,"Atherina breviceps  Valenciennes, 1835",,Cape silverside,Euryhaline,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinomorus ,lacunosus,Atherinomorus  lacunosus,"Atherinomorus lacunosus (Forster, 1801)",,Hardyhead silverside,Euryhaline,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Strongylura ,leiura,Strongylura  leiura,"Strongylura leiura (Bleeker, 1851)",,Yellowfin needlefish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Beloniformes,Blenniidae,Omobranchus ,ferox ,Omobranchus  ferox ,"Omobranchus ferox (Herre, 1927)",,Gossamer blenny ,Euryhaline,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Beloniformes,Hemirhamphidae,Hyporhamphus ,capensis,Hyporhamphus  capensis,"Hyporhamphus capensis (Thominot, 1886)",,Cape halfbeak ,Euryhaline,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Brycinus,imberi,Brycinus imberi,"Brycinus imberi (Peters, 1852)",,Imberi,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Brycinus,lateralis,Brycinus lateralis,"Brycinus lateralis (Boulenger, 1900)",,Astriped robber,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammopetersius,barnardi,Hemigrammopetersius barnardi,"Hemigrammopetersius barnardi (Herre, 1936)",,Barnard's robber,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hydrocynus,vittatus,Hydrocynus vittatus,"Hydrocynus vittatus Castelnau, 1861",,Tigerfish,Freshwater,Native,Widespread,Least concern
