Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Achnanthes,,Achnanthes,Genus,,Bacillariophyta - diatoms,Unicellular,,,Yes,Yes,,
,,,,,Achnanthes,abundans,Achnanthes abundans,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Achnanthes,crassa,Achnanthes crassa,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,linearoides,Achnanthes linearoides,Species,,Bacillariophyta - diatoms,Unicellular,,,No,,,
,,,,,Achnanthes,oblongella,Achnanthes oblongella,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,standerii,Achnanthes standerii,Species,,Bacillariophyta - diatoms,Unicellular,,,No,,,
,,,,,Achnanthes,subaffinis,Achnanthes subaffinis,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Achnanthes,swazi,Achnanthes swazi,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Achnanthidium,,Achnanthidium,Genus,,,,,,Yes,Yes,,
,,,,,Achnanthidium,affine,Achnanthidium affine,Species,,,,,,Yes,No,,
,,,,,Achnanthidium,biasolettianum,Achnanthidium biasolettianum,Species,,,,,,Yes,No,New Zealand,
,,,,,Achnanthidium,catenatum,Achnanthidium catenatum,Species,,,,,,Yes,No,Various,
,,,,,Achnanthidium,eutrophilum,Achnanthidium eutrophilum,Species,,,,,,Yes,No,Europe,
,,,,,Achnanthidium,exiguum,Achnanthidium exiguum,Species,,,,,,Yes,No,Various,
,,,,,Achnanthidium,macrocephalum,Achnanthidium macrocephalum,Species,,,,,,Yes,No,New Zealand and Europe,
,,,,,Achnanthidium,minutissimum,Achnanthidium minutissimum,Species,,,,,,Yes,No,Various,
