Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific Name and Authority,Division,Growth Form,Origin,Endemism,Conservation status
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,Achnanthes,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,abundans,Achnanthes abundans,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,crassa,Achnanthes crassa,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,linearoides,Achnanthes linearoides,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,oblongella,Achnanthes oblongella,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,standerii,Achnanthes standerii,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,subaffinis,Achnanthes subaffinis,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,swazi,Achnanthes swazi,,Bacillariophyta - diatoms,Unicellular,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,Achnanthidium,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,affine,Achnanthidium affine,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,biasolettianum,Achnanthidium biasolettianum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,catenatum,Achnanthidium catenatum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,eutrophilum,Achnanthidium eutrophilum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,exiguum,Achnanthidium exiguum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,macrocephalum,Achnanthidium macrocephalum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,minutissimum,Achnanthidium minutissimum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,oblongella,Achnanthidium oblongella,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,saprophilum,Achnanthidium saprophilum,,,,,,
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,straubianum,Achnanthidium straubianum,,,,,,
,,,,,Actinotaenium ,,Actinotaenium  ,,,,,,
,,,,,Adlafia ,,Adlafia  ,,,,,,
,,,,,Adlafia,bryophila,Adlafia bryophila,,,,,,
,,,,,Ammatoidea ,,Ammatoidea  ,,,,,,
,,,,,Amphora,,Amphora,,,,,,
,,,,,Amphora,coffeaeformis,Amphora coffeaeformis,,,,,,
,,,,,Amphora,copulata,Amphora copulata,,,,,,
,,,,,Amphora,fontinalis,Amphora fontinalis,,,,,,
,,,,,Amphora,inariensis,Amphora inariensis,,,,,,
,,,,,Amphora,montana,Amphora montana,,,,,,
,,,,,Amphora                                         ,normanii,Amphora normanii,,,,,,
,,,,,Amphora,normannii,Amphora normannii,,,,,,
,,,,,Amphora,ovalis,Amphora ovalis,,,,,,
,,,,,Amphora,pediculus,Amphora pediculus,,,,,,
,,,,,Amphora,pediculus,Amphora pediculus,,,,,,
,,,,,Amphora,strigosa,Amphora strigosa,,,,,,
,,,,,Amphora,veneta,Amphora veneta,,,,,,
,,,,,Amphora                                           ,veneta,Amphora veneta,,,,,,
,,,,,Anabaena,,Anabaena ,,,,,,
,,,,,Anabaena,flos-aqua,Anabaena flos-aqua,,,,,,
Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,granulata,Anabaena granulata,,,,,,
,,,,,Ankistrodesmus,,Ankistrodesmus ,,,,,,
,,,,,Apatococcus,,Apatococcus ,,,,,,
,,,,,Aphanocapsa,,Aphanocapsa,,,,,,
,,,,,Aphanothece,,Aphanothece ,,,,,,
,,,,,Asterionella,,Asterionella ,,,,,,
,,,,,Asterionella,formosa,Asterionella formosa,,Bacillariophyta - diatoms,,,,
