Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Habitat,Origin,Endemism,Conservation status,Subspecies,Subspecies,Former scientific name 1,Former scientific name 2,Former scientific name 3,Former scientific name 4,Former scientific name 5 ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bengalensis ,Anguilla bengalensis,"Anguilla bengalensis  (Peters, 1852)",African mottled eel,Euryhaline,Native,Widespread,Near threatened,Anguilla bengalensis bengalensis,,Anguilla macrophthalma,Anguilla nebulosa,Muraena labiata,Muraena macrophthalma,Muraena macrophthalmos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bicolor,Anguilla bicolor,"Anguilla bicolor McClelland, 1844",Shortfin eel,Euryhaline,Native,Widespread,Near threatened,Anguilla bicolor bicolor,Anguilla bicolor pacifica,Anguilla amblodon,Anguilla bleekeri,Anguilla cantori,Anguilla dussumieri,Anguilla malabarica,Anguilla moa,Anguilla mowa,Anguilla pacifica,Anguilla sidat,Anguilla spengeli,Anguilla virescens,Muraena halmaherensis,Muraena macrocephala,Muraena moa,Muraena virescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,marmorata,Anguilla marmorata,Anguilla marmorata Quoy & Gaimard 1824,Giant mottled eel,Euryhaline,Native,Widespread,Least concern,,,Anguilla fidjiensis,Anguilla hildebrandti,Anguilla hildebrandti,Anguilla johannae,Anguilla labrosa,Anguilla marmolata,Anguilla mauritiana,Muraena manillensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,mossambica,Anguilla mossambica,"Anguilla mossambica (Peters, 1852)",African longfin eel,Euryhaline,Native,Widespread,Least concern,,,Anguilla capensis,Anguilla delalandi,Muraena mossambica,Tribranchus anguillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla ,bengalensis,Anguilla  bengalensis,"Anguilla bengalensis (Gray, 1831)",Indian mottled eel,Euryhaline,Native,Widespread,Near threatened,Anguilla bengalensis bengalensis,,Anguilla arracana,Anguilla brevirostris,Anguilla elphinstonei,Anguilla variegata,Muraena bengalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,breviceps,Atherina breviceps,"Atherina breviceps  Valenciennes, 1835",Cape silverside,Euryhaline,Native,Widespread,Not evaluated,,,Atherina parvipinnis,Hepsetia breviceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinomorus ,lacunosus,Atherinomorus  lacunosus,"Atherinomorus lacunosus (Forster, 1801)",Hardyhead silverside,Euryhaline,Non-native,Widespread,Not evaluated,,,Allanetta forskali ,Atherina affinis,Atherina lacunosa,Atherina morrisi,Atherina punctata,Atherina puntata,Atherinomorous lacunosus,Atherinomorus capricornensis,,Atherion morrisi,Hepsetia morrisi ,Pranesus capricornensis,Pranesus forskalii,Pranesus lacunosus,Pranesus maculatus,Pranesus morrisi,Pranesus pinguis mineri,Pranesus pinguis ruppelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Strongylura ,leiura,Strongylura  leiura,"Strongylura leiura (Bleeker, 1851)",Yellowfin needlefish,Freshwater,Non-native,Widespread,Least concern,Strongylura leiura ferox,Strongylura leiura leiura,Belone ciconia,Belone ferox,Belone leira ,Belone leiurus,Belone natalensis,Belone tenuirostris,Rhaphiobelone dammermani,Strongylura leiyra,Strongylurus leiura,Tylosurus leiurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Beloniformes,Blenniidae,Omobranchus ,ferox ,Omobranchus  ferox ,"Omobranchus ferox (Herre, 1927)",Gossamer blenny ,Euryhaline,Non-native,Widespread,Least concern,,,Cruantus dealmeida,Omobranchus dealmeida,Omobranchus kranjiensis,Petroscirtes feliciana,Petroscirtes ferox,Petroscirtes kranjiensis,Petroscirtes waterousi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Beloniformes,Hemirhamphidae,Hyporhamphus ,capensis,Hyporhamphus  capensis,"Hyporhamphus capensis (Thominot, 1886)",Cape halfbeak ,Euryhaline,Native,Widespread,Not evaluated,,,Hemiramphus capensis,Hemirhamphus knysnaensis,Hyporhamphus knysnaensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
