eventID,occurrenceID,institutionCode,collectionCode,catalogNumber,fieldNumber,previousIdentifications,higherClassification,identificationQualifier,basisOfRecord,sex,lifeStage,recordedBy,higherGeography,continent,country,stateProvince,locality,locationID,waterBody,islandGroup,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,georeferenceSources,year,month,day,associatedMedia,occurrenceRemarks,organismQuantity,identifiedBy,accessRights,modified,occurrenceStatus,samplingProtocol,individualCount,associatedReferences,datasetName,taxonID,scientificName,vernacularName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,dynamicProperties,taxonRank
OdonataMAP-1,URN:catalog:adu.org.za:odonata:1,ADU-UCT,OdonataMAP-VM,1285157767,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Navarro R.A.","|South Africa|Western Cape",,"South Africa","Western Cape","Strandfontein Sewage Works",VM-Gazetteer-ID:110,,,5,10,0,0,-34.082877,18.513250,100,WGS84,"Google Map",1995,0,0,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,663100,"Ischnura senegalensis","Tropical Bluetail",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Ischnura,senegalensis,,"(Rambur, 1842)",LC,species
OdonataMAP-2,URN:catalog:adu.org.za:odonata:2,ADU-UCT,OdonataMAP-VM,1285167984,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K54 6723; SiyaQhubeka Kwambonambi commercial tree plantation",VM-Gazetteer-ID:118,,,49,65,0,0,-28.615278,32.212500,0,WGS84,GPS,2009,12,17,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668200,"Palpopleura lucia","Lucia Widow",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Palpopleura,lucia,,"(Drury, 1773)",LC,species
OdonataMAP-3,URN:catalog:adu.org.za:odonata:3,ADU-UCT,OdonataMAP-VM,1285168465,,,Animalia|Arthopoda|Insecta|Odonata|Gomphidae,,PhotographicRecord,,,"Diedericks G","|South Africa|Mpumalanga",,"South Africa",Mpumalanga,"Sandriver Camp; Skukuza region; Kruger National Park",VM-Gazetteer-ID:119,,,230,250,0,0,-24.950417,31.685083,0,WGS84,GPS,2009,10,23,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,664640,"Crenigomphus hartmanni","Clubbed Talontail",Animalia,Arthopoda,Insecta,Odonata,Gomphidae,Crenigomphus,hartmanni,,"(Förster, 1898)",LC,species
OdonataMAP-4,URN:catalog:adu.org.za:odonata:4,ADU-UCT,OdonataMAP-VM,1285168465,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|Mpumalanga",,"South Africa",Mpumalanga,"Sandriver Camp; Skukuza region; Kruger National Park",VM-Gazetteer-ID:119,,,230,250,0,0,-24.950417,31.685083,0,WGS84,GPS,2009,10,23,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667380,"Hemistigma albipunctum","African Piedspot",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Hemistigma,albipunctum,,"(Rambur, 1842)",LC,species
OdonataMAP-5,URN:catalog:adu.org.za:odonata:5,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,22,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,662490,"Agriocnemis gratiosa","Gracious Wisp",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,gratiosa,,"Gerstäcker, 1891","LC (Global); VU (RSA)",species
OdonataMAP-6,URN:catalog:adu.org.za:odonata:6,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,662410,"Agriocnemis sp.",wisps,Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,,,"Selys, 1877",,genus
OdonataMAP-7,URN:catalog:adu.org.za:odonata:7,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667090,"Chalcostephia flavifrons",Inspector,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Chalcostephia,flavifrons,,"Kirby, 1889",LC,species
OdonataMAP-8,URN:catalog:adu.org.za:odonata:8,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Gomphidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,664830,"Ictinogomphus ferox","Common Tigertail",Animalia,Arthopoda,Insecta,Odonata,Gomphidae,Ictinogomphus,ferox,,"(Rambur, 1842)",LC,species
OdonataMAP-9,URN:catalog:adu.org.za:odonata:9,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,663100,"Ischnura senegalensis","Tropical Bluetail",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Ischnura,senegalensis,,"(Rambur, 1842)",LC,species
OdonataMAP-10,URN:catalog:adu.org.za:odonata:10,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,22,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667950,"Orthetrum julia","Julia Skimmer",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,julia,,"Kirby, 1900",LC,species
