Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,natalensis,Ambassis natalensis,"Ambassis natalensis Gilchrist & Thompson, 1908",Slender glassy,Native,Widespread,Least concern,1,Ambassis safgha;Chanda safgha;Sciaena safgha
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,natalensis,Amphilius natalensis,"Amphilius natalensis Boulenger, 1917",Natal mountain catfish,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Amphiliidae,Amphilius,uranoscopus,Amphilius uranoscopus,"Amphilius uranoscopus (Pfeffer, 1889)",Stargazer mountain catfish,Native,Widespread,Least concern,1,Amphilius brevidorsalis;Amphilius hargeri;Amphilius leroyi;Amphilius platychir cubangoensis;Anoplopterus uranoscopus;Chimarrhoglanis leroyi;Pimelodus uranoscopus
Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla ,bengalensis,Anguilla  bengalensis,"Anguilla bengalensis (Gray, 1831)",Indian mottled eel,Native,Widespread,Near threatened,3,Anguilla arracana;Anguilla brevirostris;Anguilla elphinstonei;Anguilla variegata;Muraena bengalensis
Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bicolor,Anguilla bicolor,"Anguilla bicolor McClelland, 1844",Shortfin eel,Native,Widespread,Near threatened,3,Anguilla amblodon;Anguilla bleekeri;Anguilla cantori;Anguilla dussumieri;Anguilla malabarica;Anguilla moa;Anguilla mowa;Anguilla pacifica;Anguilla sidat;Anguilla spengeli;Anguilla virescens;Muraena halmaherensis;Muraena macrocephala;Muraena moa;Muraena virescens
Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla ,labiata,Anguilla labiata ,"Anguilla labiata (Peters, 1852)",African Mottled Eel,Native,Widespread,Near threatened,3,
Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,marmorata,Anguilla marmorata,Anguilla marmorata Quoy & Gaimard 1824,Giant mottled eel,Native,Widespread,Least concern,3,Anguilla fidjiensis;Anguilla hildebrandti;Anguilla hildebrandti;Anguilla johannae;Anguilla labrosa;Anguilla marmolata;Anguilla mauritiana;Muraena manillensis
Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,mossambica,Anguilla mossambica,"Anguilla mossambica (Peters, 1852)",African longfin eel,Native,Widespread,Least concern,3,Anguilla capensis;Anguilla delalandi;Muraena mossambica;Tribranchus anguillaris
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,calliptera,Astatotilapia calliptera,"Astatotilapia calliptera (Günther, 1893)",Eastern river bream,Non-native,Widespread,Least concern,2,Chromis callipterus;Ctenochromis callipterus;Haplochromis callipterus;Haplochromis centropristoides;Neochromis simotes nyassae;Tilapia calliptera
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Austroglanididae,Austroglanis,barnardi,Austroglanis barnardi,"Austroglanis barnardi (Skelton, 1981)",Barnard's rock catfish,Native,Regional endemic level 1,Endangered,1,Gephyroglanis barnardi
