On GBIF,South Africa records,Comments,Source,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,SubSpecies,Taxon,Scientific name and authority,Origin,Endemism,Conservation status,Former scientific names
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemadipsidae,Mesobdella,lineata,,Mesobdella lineata,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemopidae,Semiscoloides,congolensis,,Semiscoloides congolensis,"Semiscoloides congolensis (Sciacchitano, 1959)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,africana,,Aliolimnatis africana,"Aliolimnatis africana (Blanchard, 1897)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,buntonensis,,Aliolimnatis buntonensis,"Aliolimnatis buntonensis (Meyer, 1951)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,obscura,,Aliolimnatis obscura,"Aliolimnatis obscura (de Moore, 1939)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,oligodonta,,Aliolimnatis oligodonta,"Aliolimnatis oligodonta (Johansson, 1913)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,hildenbrandti,,Hirudo hildenbrandti,"Hirudo hildenbrandti Blanchard, 1897",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,michaelseni,,Hirudo michaelseni,"Hirudo michaelseni Augener, 1936",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,,,Hirudo ,"Hirudo Linnaeus, 1758",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemopidae,Praobdella,maculata,,Praobdella maculata,"Praobdella maculata (de Moore, 1939)",Native,Unknown,Not evaluated,
