Biobase or Rivers Database_Description,Code,FBIS_Unit,FBIS_Name,Retain variable in FBIS abiotic list,Serve legacy data only as CSV,Minimum,Maximum
Alkalinity as Calcium Carbonate,CaCO3,mg/l,Alkalinity - total,Yes,,0,500
Alkalinity as Calcium Carbonate (maximum),CACO3MAX,mg/l,,No,Yes,,
Alkalinity as Calcium Carbonate (minimum),CACO3MIN,mg/l,,No,Yes,,
Aluminium - Acid extractable,AL-H,mg/l,,No,Yes,,
Aluminium - Dissolved,AL-DISS,mg/l,,No,Yes,,
Aluminium concentration,AL,mg/l,Aluminium,Yes,,0.02,320
Ammonia nitrogen,NH4-N,mg/l,Nitrogen - ammonia,Yes,,0,10
Ammonia nitrogen (maximum),NH4MAX,mg/l,,No,Yes,,
Ammonia nitrogen (minimum),NH4MIN,mg/l,,No,Yes,,
Arsenic,AS,mg/l,Arsenic,Yes,,0.03,0.5
Arsenic - Acid extractable,AS-H,mg/l,,No,Yes,,
Arsenic - Dissolved,AS-DISS,mg/l,,No,Yes,,
Barium,BA,mg/l,Barium,Yes,,0,0.5
Barium - Acid extractable,BA-H,mg/l,,No,Yes,,
Barium - Dissolved,BA-DISS,mg/l,,No,Yes,,
Beryllium,BE,mg/l,Beryllium,Yes,,0,0.01
Beryllium - Acic extractable,BE-H,mg/l,,No,Yes,,
Beryllium - Dissolved,BE-DISS,mg/l,,No,Yes,,
Bicarbonate,HCO3,mg/l,Bicarbonate,Yes,,0,500
Biological Oxygen Demand,BOD,mg/l (5 days),Biological oxygen demand,Yes,,0,600
Biological Oxygen Demand (maximum),BODMAX,mg/l (5 days),,No,Yes,,
Biological Oxygen Demand (minimum),BODMIN,mg/l (5 days),,No,Yes,,
Boron,B,mg/l,Boron,Yes,,0,0.5
Boron - Acid extractable,B-H,mg/l,,No,Yes,,
Boron - Dissolved,B-DISS,mg/l,,No,Yes,,
Cadmium,CD,mg/l,Cadmium,Yes,,0,0.15
Cadmium - Acid extractable,CD-H,mg/l,,No,Yes,,
Cadmium - Dissolved,CD-DISS,mg/l,,No,Yes,,
Calcium,CA,mg/l,Calcium,Yes,,0,500
Calcium (maximum),CAMAX,mg/l,,No,Yes,,
Calcium (minimum),CAMIN,mg/l,,No,Yes,,
Carbonate,CO3,mg/l,Carbonate,Yes,,0,500
Chemical Oxygen Demand,COD,mg/l,Chemical oxygen demand,Yes,,0,1500
Chloride,CL,mg/l,Chloride,Yes,,0,1000
Chloride (maximum),CLMAX,mg/l,,No,Yes,,
Chloride (minimum),CLMIN,mg/l,,No,Yes,,
Chlorophyll a,CHLA,mg/l,Chlorophyll a,Yes,,1,300
Chromium,CR,mg/l,Chromium,Yes,,0,0.5
Chromium - Acid extractable,CR-H,mg/l,,No,Yes,,
Chromium - Dissolved,CR-DISS,mg/l,,No,Yes,,
Cobolt,CO,mg/l,Cobolt,Yes,,0,0.05
Cobolt - Acid extractable,CO-H,mg/l,,No,Yes,,
Cobolt - Dissolved,CO-DISS,mg/l,,No,Yes,,
Colour,COL,APHA units,Colour,Yes,,0,500
Colour (maximum),COLMAX,APHA units,,No,Yes,,
Colour (minimum),COLMIN,APHA units,,No,Yes,,
Conductivity,COND,mS/m,Conductivity,Yes,,1,500
Conductivity (maximum),CONDMAX,mS/m,,No,Yes,,
Conductivity (minimum),CONDMIN,mS/m,,No,Yes,,
Copper,CU,mg/l,Copper,Yes,,0,0.1
Copper - Acid extractable,CU-H,mg/l,,No,Yes,,
Copper - Dissolved,CU-DISS,mg/l,,No,Yes,,
Depth,,m,Depth,Yes,,0,4
Dissolved inorganic nitrogen,DIN,mg/l,Nitrogen - dissolved inorganic ,Yes,,0,15
Dissolved organic carbon,DOC,mg/l,Carbon - dissolved organic,Yes,,0,120
Dissolved organic nitrogen,DON,mg/l,Nitrogen - dissolved organic ,Yes,,0,15
