Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Scientific name and authority,GBIF URL,Division,Growth form,Origin,Endemism,Conservation Status
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,,Achnanthes,Genus,"Achnanthes Bory, 1822",https://www.gbif.org/species/2630210,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthes,abundans,Achnanthes abundans,Species,Achnanthes abundans Manguin,https://www.gbif.org/species/2630292,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,crassa,Achnanthes crassa,Species,"Achnanthes crassa Hustedt, 1937",https://www.gbif.org/species/7369788,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,linearoides,Achnanthes linearoides,Species,,,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,oblongella,Achnanthes oblongella,Species,"Achnanthes oblongella Ostrup, 1902",https://www.gbif.org/species/2630297,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,standeri,Achnanthes standeri,Species,"Achnanthes standeri Cholnoky, 1957",https://www.gbif.org/species/7498698,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,subaffinis,Achnanthes subaffinis,Species,"Achnanthes subaffinis Cholnoky, 1959",https://www.gbif.org/species/8327256,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,swazi,Achnanthes swazi,Species,"Achnanthes swazi Cholnoky, 1960",https://www.gbif.org/species/7456304,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,Achnanthidium,Genus,"Achnanthidium F.T.Kützing, 1844",https://www.gbif.org/species/2630911,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,affine,Achnanthidium affine,Species,Achnanthidium affine (Grunow) Czarn.,https://www.gbif.org/species/2630926,Bacillariophyta,Single cells,Unknown,Unknown,Unknown
